StartDate,EndDate,Duration (in seconds),att1_1,att1_2,att1_3,base_mor,base_prac,base_cons,base_know,base_emo,att2_1,att2_2,att2_3,resp1,Th1VA,resp2,Th2VA,resp3,Th3VA,resp4,Th4VA,resp5,Th5VA,resp6,Th6VA,essMoral,essPrac,poli_soc,poli_econ,age,gender,gen_4_TEXT,gen_DO,language,language_10_TEXT,FL_12_DO,AttitudeBases_DO,cond.F,cond
2022/12/2 12:17,2022/12/2 12:26,562,4,4,4,5,4,3,4,4,1,1,1,I'm confused,3,if recycling is really bad then why didn't we here about this information before,3,what is the solution? becase is we don't recycle it well still be bad to the inviroment ,3,NA,NA,NA,NA,NA,NA,5,5,2,3,24,Female,,4|1|3|2,Other (specify),Arabic,Message- PracticalArguments,base_cons|base_emo|base_know|base_mor|base_prac,Moral Arguement,-1
2022/12/2 12:16,2022/12/2 12:26,612,4,3,4,3,4,1,4,3,2,1,2,unfortunately the cost and negative enviromental impact is severe,1,recycling might do more harm than good,1,the information received was informative,1,NA,NA,NA,NA,NA,NA,2,6,3,3,22,Female,,1|2|3|4,English,,Message- PracticalArguments,base_cons|base_prac|base_emo|base_mor|base_know,Practical Arguement,1
2022/12/2 12:16,2022/12/2 12:27,676,4,4,4,4,3,2,3,3,4,4,3,We have to consider the pros and cons recycling could have on the planet we live in,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,2,3,23,Male,,1|3|4|2,Other (specify),Portuguese,Message- PracticalArguments,base_cons|base_mor|base_emo|base_prac|base_know,Moral Arguement,-1
2022/12/2 12:16,2022/12/2 12:27,675,2,4,3,3,4,1,4,2,2,3,3,I've known for a while that recycling has been pretty ineffective.,1,"Recycling is still a good idea, better methods will be found.",2,Recycling plants should probably be kept away from populated areas.,4,NA,NA,NA,NA,NA,NA,2,7,4,3,28,Male,,1|3|4|2,English,,Message- PracticalArguments,base_prac|base_cons|base_know|base_mor|base_emo,Practical Arguement,1
2022/12/2 12:17,2022/12/2 12:28,674,4,2,4,2,2,2,3,3,4,2,4,I dont care about it,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,2,3,22,Female,,3|2|1|4,Other (specify),polish,Message- PracticalArguments,base_emo|base_know|base_cons|base_mor|base_prac,Practical Arguement,1
2022/12/2 12:16,2022/12/2 12:28,712,4,4,4,4,4,4,4,3,2,3,2,recycling may be expensive but it's worth it. ,2,things can be done to reduce the expenses ,4,it requires critical thinking and analysis ,4,it makes the world a better place ,2,NA,NA,NA,NA,4,6,3,3,38,Male,,4|3|2|1,English,,Message- PracticalArguments,base_prac|base_emo|base_mor|base_cons|base_know,Practical Arguement,1
2022/12/2 12:16,2022/12/2 12:30,840,4,4,4,5,5,4,5,2,3,4,3,Sure there are downsides about recycling but it´s needed because we produce too much trash and we can be sustainable unless we recycle this trash.,2,"The housing issue is real and I´m somewhat in touch with that matter because I live near a ETAR, but I don´t think there is another way around this water problem for example.",2,"About the trafic issue, there must be a way in city management to deal with trafic, in european countries the use of reliable public transport was a great way to deal with traffic, but still is a on going issue.",3,NA,NA,NA,NA,NA,NA,5,4,2,2,21,Male,,2|3|4|1,Other (specify),Portuguese,Message- PracticalArguments,base_cons|base_mor|base_emo|base_prac|base_know,Practical Arguement,1
2022/12/2 12:17,2022/12/2 12:32,893,4,3,4,3,4,1,5,4,4,3,4,"As technology advance, costs will decrease.",2,the problem is in the masses,4,NA,NA,NA,NA,NA,NA,NA,NA,2,6,3,2,22,Male,,3|4|2|1,Spanish,,Message- PracticalArguments,base_emo|base_mor|base_cons|base_prac|base_know,Practical Arguement,1
2022/12/2 12:16,2022/12/2 12:32,967,2,3,3,4,4,2,4,3,-2,-1,-2,surprise,1,disbelief,2,surprised that it is,1,I've always thought positively about your process,4,NA,NA,NA,NA,2,7,2,2,56,Female,,4|1|2|3,Other (specify),Polish,Message- PracticalArguments,base_mor|base_emo|base_cons|base_know|base_prac,Practical Arguement,1
2022/12/2 12:16,2022/12/2 12:34,1103,4,3,4,4,3,4,3,2,2,3,3,There has to be more options to get rid of the trash apart from recycling.,1,I think knowing where the source of this essay came from could help me understand where this is coming from.,4,NA,NA,NA,NA,NA,NA,NA,NA,2,6,2,2,21,Male,,1|4|2|3,Spanish,,Message- PracticalArguments,base_know|base_cons|base_prac|base_emo|base_mor,Practical Arguement,1
2022/12/2 12:17,2022/12/2 12:35,1090,3,3,3,3,4,3,4,3,2,2,2,Despite the incurred costs implementing recycling its still good ,2,Recycling still saves eg. our trees,2,Recycling and climate change can be compared its to save earth,2,Recycling leaves a clean carbon footprint,2,Recycling ends purpose does not defeat the mission,2,Recycling allows our resources to be given another chance to be useful and not wasted,2,5,5,3,3,53,Female,,3|2|4|1,English,,Message- PracticalArguments,base_prac|base_mor|base_know|base_emo|base_cons,Practical Arguement,1
2022/12/2 12:16,2022/12/2 12:37,1201,4,3,4,5,4,3,3,4,3,2,2,The article had a point but the problems were overdramatized. We can minimaze the pollution form the recycling plants and more vehicles is no excuse.,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,2,3,25,Male,,3|1|2|4,Other (specify),Polish,Message- PracticalArguments,base_mor|base_emo|base_prac|base_know|base_cons,Moral Arguement,-1
2022/12/2 12:22,2022/12/2 12:39,1059,4,4,4,4,4,1,5,3,3,3,3,The fumes from the trucks are probably less than those from burning and disposing of trash ,2,"Without recycling, cities would probably clear more surrounding areas to create dump sites, thus removing plants and wildlife",2,The recycling process is not perfect but it is necessary,2,How are the stats on pets that are run over collected? It's a hard thing to attribute to trucks from recycling,2,NA,NA,NA,NA,6,4,3,4,24,Male,,3|4|1|2,English,,Message- PracticalArguments,base_mor|base_know|base_prac|base_cons|base_emo,Moral Arguement,-1
2022/12/2 12:45,2022/12/2 12:50,299,4,-4,-4,3,3,1,4,1,2,-2,-1,Perplexed,3,Doubtfull,2,Uncertain,3,Curious,3,NA,NA,NA,NA,5,3,4,3,24,Male,,1|2|4|3,Spanish,,Message- PracticalArguments,base_emo|base_cons|base_know|base_prac|base_mor,Moral Arguement,-1
2022/12/2 12:45,2022/12/2 12:52,436,-2,-2,-3,4,3,2,5,4,-2,-2,-3,1. Recycling conserves natural resources.,2,2. Recycling reduces pollution.,2,3. Recycling helps save energy.,2,4. Recycling is good for the environment.,2,5. Recycling reduces waste.,2,6. Recycling supports local economies.,2,6,6,2,3,51,Male,,3|2|1|4,Spanish,,Message- PracticalArguments,base_mor|base_emo|base_cons|base_prac|base_know,Moral Arguement,-1
2022/12/2 12:52,2022/12/2 12:56,206,2,1,4,2,4,3,5,1,2,1,2,it didnt really change my opinion,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,4,3,20,Male,,3|4|2|1,Other (specify),hungarian,Message- PracticalArguments,base_cons|base_prac|base_emo|base_know|base_mor,Moral Arguement,-1
